http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&sortType%3Ddesc_p_Publication_Year%26queryText%3DHigh+Performance+Computing%2C+Networking%2C+Storage+And+Analysis+.LB.SC.RB.,4/24/17 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Exploring the Potentials of Parallel Garbage Collection in SSDs for Enterprise Storage Systems,N. Shahidi; M. T. Kandemir; M. Arjomand; C. R. Das; M. Jung; A. Sivasubramaniam,"Pennsylvania State Univ., University Park, PA, USA","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,561,572,"In the last decade, NAND flash-based SSDs have been widely adopted for high-end enterprise systems in an attempt to provide a high-performance and reliable storage. However, inferior performance is frequently attained mainly due to the need for Garbage Collection (GC). GC in flash memory is the process of identifying and clearing the blocks of unneeded data to create space for the new data to be allocated. GC is a high-latency operation and once it is scheduled for service to a block of a plane in a flash chip (each flash chip consists of multiple planes), it can increase latency for later arriving I/O requests to the same plane. Apart from that, the consequent high latency also keep other planes of the same chip, that are not involved in this GC, idle for a long time. We show that for the baseline SSD with modern FTL, GC considerably reduces the plane-level parallelism, causing significant performance degradation. There are several circuit-level constraints that make it difficult to allow subsequent I/O operations and/or GCs to be served concurrently from the same chip, but different planes, during the long latency GC. This paper proposes a novel GC strategy, called Parallel GC (PaGC), whose goal is to proactively run GC on the remaining planes of a flash chip whenever any of its planes needs to execute on-demand GC. The resulting PaGC system boosts the response time of I/O requests by up to 45% (32% on average) for different GC settings and across a wide spectrum of enterprise I/O workloads.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.47,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877126,,Computer architecture;Optimization;Organizations;Parallel processing;Quality of service;Reliability;Time factors,business data processing;flash memories;parallel processing;storage management,I/O operations;I/O requests;PaGC;SSD;circuit-level constraints;enterprise I/O workloads;enterprise storage systems;flash chip;flash memory;high-latency operation;on-demand GC;parallel GC;parallel garbage collection;plane-level parallelism;solid-state disk,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Caliper: Performance Introspection for HPC Software Stacks,D. Boehme; T. Gamblin; D. Beckingsale; P. T. Bremer; A. Gimenez; M. LeGendre; O. Pearce; M. Schulz,"Lawrence Livermore Nat. Lab., Livermore, CA, USA","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,550,560,"Many performance engineering tasks, from long-term performance monitoring to post-mortem analysis and online tuning, require efficient runtime methods for introspection and performance data collection. To understand interactions between components in increasingly modular HPC software, performance introspection hooks must be integrated into runtime systems, libraries, and application codes across the software stack. This requires an interoperable, cross-stack, general-purpose approach to performance data collection, which neither application-specific performance measurement nor traditional profile or trace analysis tools provide. With Caliper, we have developed a general abstraction layer to provide performance data collection as a service to applications, runtime systems, libraries, and tools. Individual software components connect to Caliper in independent data producer, data consumer, and measurement control roles, which allows them to share performance data across software stack boundaries. We demonstrate Caliper's performance analysis capbilities with two case studies of production scenarios.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.46,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877125,Computer performance;High performance computing;Parallel processing;Performance analysis;Software performance;Software reusability;Software tools,Context;Data models;Instruments;Libraries;Runtime;Semantics;Software,data acquisition;open systems;parallel processing;software libraries;software performance evaluation;software tools,Caliper performance analysis capbilities;HPC software stacks;application codes;data consumer;data producer;general abstraction layer;interoperable cross-stack general- purpose approach;long-term performance monitoring;measurement control roles;online tuning;performance data collection;performance engineering;performance introspection hooks;post-mortem analysis;runtime systems;software components;software consumer;software libraries;software stack;software stack boundaries;software tools,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Enabling Efficient Preemption for SIMT Architectures with Lightweight Context Switching,Z. Lin; L. Nyland; H. Zhou,"Dept. of Electr. & Comput. Eng., North Carolina State Univ., Raleigh, NC, USA","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,898,908,"Context switching is a key technique enabling preemption and time-multiplexing for CPUs. However, for single-instruction multiple-thread (SIMT) processors such as high-end graphics processing units (GPUs), it is challenging to support context switching due to the massive number of threads, which leads to a huge amount of architectural states to be swapped during context switching. The architectural state of SIMT processors includes registers, shared memory, SIMT stacks and barrier states. Recent works present thread-block-level preemption on SIMT processors to avoid context switching overhead. However, because the execution time of a thread block (TB) is highly dependent on the kernel program. The response time of preemption cannot be guaranteed and some TB-level preemption techniques cannot be applied to all kernel functions. In this paper, we propose three complementary ways to reduce and compress the architectural states to achieve lightweight context switching on SIMT processors. Experiments show that our approaches can reduce the register context size by 91.5% on average. Based on lightweight context switching, we enable instruction-level preemption on SIMT processors with compiler and hardware co-design. With our proposed schemes, the preemption latency is reduced by 59.7% on average compared to the naive approach.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.76,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877155,,Context;Instruction sets;Kernel;Registers;Resource management;Switches,computer architecture;flip-flops;graphics processing units;microprocessor chips;operating system kernels;parallel processing;program compilers;shared memory systems;switching circuits,CPU preemption;CPU time-multiplexing;GPU;SIMT architecture efficient preemption;SIMT processor architectural states;SIMT stacks;TB level preemption;barrier states;compiler;hardware codesign;high-end graphics processing units;instruction-level preemption;kernel program;lightweight context switching;preemption response time;registers;shared memory;single-instruction multiple-thread processors;thread-block-level preemption,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
A Machine Learning Framework for Performance Coverage Analysis of Proxy Applications,T. Z. Islam; J. J. Thiagarajan; A. Bhatele; M. Schulz; T. Gamblin,"Center for Appl. Sci. Comput., Lawrence Livermore Nat. Lab., Livermore, CA, USA","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,538,549,"Proxy applications are written to represent subsets of performance behaviors of larger, and more complex applications that often have distribution restrictions. They enable easy evaluation of these behaviors across systems, e.g., for procurement or co-design purposes. However, the intended correlation between the performance behaviors of proxy applications and their parent codes is often based solely on the developer's intuition. In this paper, we present novel machine learning techniques to methodically quantify the coverage of performance behaviors of parent codes by their proxy applications. We have developed a framework, VERITAS, to answer these questions in the context of on-node performance: (a) which hardware resources are covered by a proxy application and how well, and (b) which resources are important, but not covered. We present our techniques in the context of two benchmarks, STREAM and DGEMM, and two production applications, OpenMC and CMTnek, and their respective proxy applications.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.45,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877124,Machine learning;Performance analysis;Scalability;Unsupervised learning,Computer architecture;Correlation;Hardware;Loss measurement;Production;Radiation detectors,Monte Carlo methods;learning (artificial intelligence);parallel processing,CMTnek production application;DGEMM benchmark;OpenMC production application;STREAM benchmark;VERITAS;machine learning;performance coverage analysis;proxy applications,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
DCA: A DRAM-cache-Aware DRAM Controller,C. C. Huang; V. Nagarajan; A. Joshi,"Inst. of Comput. Syst. Archit., Univ. of Edinburgh, Edinburgh, UK","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,887,897,"3D-stacking technology has enabled the option of embedding a large DRAM cache onto the processor. Since the DRAM cache can be orders of magnitude larger than a conventional SRAM cache, the size of its cache tags can also be large. Recent works have proposed storing these tags in the stacked DRAM array itself. However, this increases the complexity of a DRAM cache request, which now translates into multiple DRAM cache accesses (tag/data). In this work, we address how to schedule these DRAM cache accesses. We start by exploring whether or not a conventional DRAM controller will work well. We introduce two potential baseline designs and study their limitations. We then derive a set of design principles that a DRAM cache controller must ideally satisfy. Our DRAM-cache-aware (DCA) DRAM controller, that is based on these principles, consistently improves performance over various DRAM cache organizations.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.75,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877154,,Arrays;Complexity theory;Delays;Organizations;Random access memory;Schedules;System performance,DRAM chips;cache storage,3D-stacking technology;DCA;DRAM cache accesses;DRAM cache organizations;DRAM cache request complexity;DRAM-cache-aware DRAM controller;cache tags;design principles;stacked DRAM array,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
MUSA: A Multi-level Simulation Approach for Next-Generation HPC Machines,T. Grass; C. Allande; A. Armejach; A. Rico; E. AyguadÃ©; J. Labarta; M. Valero; M. Casas; M. Moreto,,"SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,526,537,"The complexity of High Performance Computing (HPC) systems is increasing in the number of components and their heterogeneity. Interactions between software and hardware involve many different aspects which are typically not transparent to scientific programmers and system architects. Therefore, predicting the behavior of current scientific applications on future HPC infrastructures is a challenging task. In this paper we present MUSA, an end-to-end methodology that employs a multi-level simulation infrastructure. By combining different levels of abstraction, MUSA is able to model the communication network, microarchitectural details and system software interactions, providing different trade-offs in terms of simulation cost and accuracy. We compare detailed MUSA simulations with native executions of up to 2,048 cores and find relative errors that are within 10% in the common case. In addition, we use MUSA to simulate up to 16,384 cores and successfully identify scalability bottlenecks due to different factors, e.g. memory contention or load imbalance. We also compare different system configurations, showing how MUSA can help system designers to assess the usefulness of future technologies in next-generation HPC machines.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.44,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877123,,Computational modeling;Microarchitecture;Next generation networking;Parallel processing;Programming;Runtime;System software,digital simulation;parallel architectures;parallel machines,MUSA;communication network;high performance computing;microarchitectural details;multilevel simulation approach;next-generation HPC machines;system software interactions,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Improving Application Resilience to Memory Errors with Lightweight Compression,S. Levy; K. B. Ferreira; P. G. Bridges,"Dept. of Comput. Sci., Univ. of New Mexico, Albuquerque, NM, USA","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,323,334,"In next-generation extreme-scale systems, application performance will be limited by memory performance characteristics. The first exascale system is projected to contain many petabytes of memory. In addition to the sheer volume of the memory required, device trends, such as shrinking feature sizes and reduced supply voltages, have the potential to increase the frequency of memory errors. As a result, resilience to memory errors is a key challenge. In this paper, we evaluate the viability of using memory compression to repair detectable uncorrectable errors (DUEs) in memory. We develop a software library, evaluate its performance and demonstrate that it is able to significantly compress memory of HPC applications. Further, we show that exploiting compressed memory pages to correct memory errors can significantly improve application performance on next-generation systems.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.27,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877106,,Hardware;Memory management;Next generation networking;Performance evaluation;Reliability;Runtime;Scalability,parallel processing;storage management,DUE;HPC applications;application resilience;detectable uncorrectable errors;high performance computing;lightweight compression;memory compression;memory errors;memory performance;next-generation extreme-scale systems;reduced supply voltages;sheer volume,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Elastic Multi-resource Fairness: Balancing Fairness and Efficiency in Coupled CPU-GPU Architectures,S. Tang; B. He; S. Zhang; Z. Niu,"Sch. of Comput. Sci. & Technol., Tianjin Univ., Tianjin, China","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,875,886,"Fairness and efficiency are two important concerns for users in a shared computer system, and there tends to be a tradeoff between them. Heterogeneous computing poses new challenging issues on the fair allocation of computational resources among users due to the availability of different kinds of computing devices (e.g., CPU and GPU). Prior work either considers the fair resource allocation separately for each computing device or is unable to balance flexibly the tradeoff between the fairness and system utilization. In this work, we consider an emerging heterogeneous computing system with coupled CPU and GPU into a single chip. We first show that it is essential to have a new fair policy for coupled CPU-GPU architectures that is capable of considering both the CPU and the GPU as a whole in fair resource allocation and being aware of the system utilization maximization. We then propose a fair policy called Elastic Multi-Resource Fairness (EMRF) for coupled CPU-GPU architectures, by modeling CPU and GPU as two resource types and viewing the resource fairness problem as a multi-resource fairness problem. It extends DRF by adding a knob that allows users to tune and balance fairness and performance flexibly, and considers the fair allocation of computational resources as a whole for CPU and GPU devices. We show that EMRF satisfies fairness properties of sharing incentive, envy-freeness and pareto efficiency. Finally, we evaluate EMRF using real experiments, and the results show that EMRF can achieve better performance and fairness.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.74,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877153,APU;Coupled CPU-GPU Architecture;EMRF;Fairness;Performance,Computational modeling;Computer architecture;Graphics processing units;Performance evaluation;Programming;Quality of service;Resource management,graphics processing units;microprocessor chips;resource allocation,DRF;EMRF;Pareto efficiency property;coupled CPU-GPU architectures;elastic multiresource fairness;envy-freeness property;heterogeneous computing system;incentive sharing property;multiresource fairness problem;resource allocation;system utilization maximization,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
A Parallel Arbitrary-Order Accurate AMR Algorithm for the Scalar Advection-Diffusion Equation,A. Bakhtiari; D. Malhotra; A. Raoofy; M. Mehl; H. J. Bungartz; G. Biros,"Tech. Univ. of Munich, Munich, Germany","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,514,525,"We present a numerical method for solving the scalar advection-diffusion equation using adaptive mesh refinement. Our solver has three unique characteristics: (1) it supports arbitrary-order accuracy in space; (2) it allows different discretizations for the velocity and scalar advected quantity; (3) it combines the method of characteristics with an integral equation formulation; and (4) it supports shared and distributed memory architectures. In particular, our solver is based on a second-order accurate, unconditionally stable, semi-Lagrangian scheme combined with a spatially-adaptive Chebyshev octree for discretization. We study the convergence, single-node performance, strong scaling, and weak scaling of our scheme for several challenging flows that cannot be resolved efficiently without using high-order accurate discretizations. For example, we consider problems for which switching from 4th order to 14th order approximation results in two orders of magnitude speedups for a computation in which we keep the target accuracy in the solution fixed. For our largest run, we solve a problem with one billion unknowns on a tree with maximum depth equal to 10 and using 14th-order elements on 16,384 x86 cores on the â€œSTAMPEDEâ€œ system at the Texas Advanced Computing Center.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.43,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877122,,Boundary conditions;Chebyshev approximation;Convergence;Integral equations;Interpolation;Method of moments;Octrees,approximation theory;computational fluid dynamics;convergence of numerical methods;diffusion;integral equations;mesh generation;parallel algorithms,14th order approximation;STAMPEDE system;Texas Advanced Computing Center;adaptive mesh refinement;arbitrary-order accuracy;convergence;distributed memory architectures;high-order accurate discretizations;integral equation formulation;orders of magnitude;parallel arbitrary-order accurate AMR algorithm;scalar advected quantity;scalar advection-diffusion equation;second-order accurate scheme;semiLagrangian scheme;shared memory architectures;single-node performance;spatially-adaptive Chebyshev octree;strong scaling;unconditionally stable scheme;velocity field;weak scaling,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
Failure Detection and Propagation in HPC systems,G. Bosilca; A. Bouteiller; A. Guermouche; T. Herault; Y. Robert; P. Sens; J. Dongarra,"ICL, Univ. of Tennessee, Knoxville, TN, USA","SC '16: Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",20170316,2016,,,312,322,"Building an infrastructure for Exascale applications requires, in addition to many other key components, a stable and efficient failure detector. This paper describes the design and evaluation of a robust failure detector, able to maintain and distribute the correct list of alive resources within proven and scalable bounds. The detection and distribution of the fault information follow different overlay topologies that together guarantee minimal disturbance to the applications. A virtual observation ring minimizes the overhead by allowing each node to be observed by another single node, providing an unobtrusive behavior. The propagation stage is using a non-uniform variant of a reliable broadcast over a circulant graph overlay network, and guarantees a logarithmic fault propagation. Extensive simulations, together with experiments on the Titan ORNL supercomputer, show that the algorithm performs extremely well, and exhibits all the desired properties of an Exascale-ready algorithm.",,Electronic:978-1-4673-8815-3; POD:978-1-4673-8816-0,10.1109/SC.2016.26,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877105,Failure Detection;Fault-Tolerance;MPI,Algorithm design and analysis;Computer crashes;Fault tolerance;Fault tolerant systems;Heart beat;Observers;Protocols,fault diagnosis;fault tolerant computing;parallel processing,HPC systems;Titan ORNL supercomputer;circulant graph overlay network;exascale-ready algorithm;failure detection;failure propagation;fault information distribution;fault tolerance;logarithmic fault propagation;no-uniform variant;reliable broadcast;virtual observation ring,,,,,,,13-18 Nov. 2016,,IEEE,IEEE Conference Publications
